name,type,lat,lon
713,H,245000.0,6625000.0
853,H,270000.0,6630000.0
970,H,180000.0,6635000.0
978,H,220000.0,6635000.0
981,H,235000.0,6635000.0
982,H,240000.0,6635000.0
983,H,245000.0,6635000.0
987,H,265000.0,6635000.0
988,H,270000.0,6635000.0
989,H,275000.0,6635000.0
990,H,280000.0,6635000.0
991,H,285000.0,6635000.0
992,H,290000.0,6635000.0
993,H,295000.0,6635000.0
994,H,300000.0,6635000.0
995,H,305000.0,6635000.0
1105,H,180000.0,6640000.0
1108,H,195000.0,6640000.0
1112,H,215000.0,6640000.0
1113,H,220000.0,6640000.0
1114,H,225000.0,6640000.0
1115,H,230000.0,6640000.0
1116,H,235000.0,6640000.0
1117,H,240000.0,6640000.0
1118,H,245000.0,6640000.0
1119,H,250000.0,6640000.0
1121,H,260000.0,6640000.0
1122,H,265000.0,6640000.0
1123,H,270000.0,6640000.0
1124,H,275000.0,6640000.0
1125,H,280000.0,6640000.0
1126,H,285000.0,6640000.0
1127,H,290000.0,6640000.0
1128,H,295000.0,6640000.0
1129,H,300000.0,6640000.0
1130,H,305000.0,6640000.0
1131,H,310000.0,6640000.0
1132,H,315000.0,6640000.0
1133,H,320000.0,6640000.0
1134,H,325000.0,6640000.0
1135,H,330000.0,6640000.0
1139,H,350000.0,6640000.0
1245,H,205000.0,6645000.0
1247,H,215000.0,6645000.0
1248,H,220000.0,6645000.0
1249,H,225000.0,6645000.0
1250,H,230000.0,6645000.0
1251,H,235000.0,6645000.0
1252,H,240000.0,6645000.0
1253,H,245000.0,6645000.0
1254,H,250000.0,6645000.0
1255,H,255000.0,6645000.0
1256,H,260000.0,6645000.0
1257,H,265000.0,6645000.0
1258,H,270000.0,6645000.0
1259,H,275000.0,6645000.0
1260,H,280000.0,6645000.0
1261,H,285000.0,6645000.0
1262,H,290000.0,6645000.0
1263,H,295000.0,6645000.0
1264,H,300000.0,6645000.0
1265,H,305000.0,6645000.0
1266,H,310000.0,6645000.0
1267,H,315000.0,6645000.0
1268,H,320000.0,6645000.0
1269,H,325000.0,6645000.0
1270,H,330000.0,6645000.0
1274,H,350000.0,6645000.0
1275,H,355000.0,6645000.0
1379,H,200000.0,6650000.0
1380,H,205000.0,6650000.0
1381,H,210000.0,6650000.0
1382,H,215000.0,6650000.0
1383,H,220000.0,6650000.0
1384,H,225000.0,6650000.0
1385,H,230000.0,6650000.0
1386,H,235000.0,6650000.0
1387,H,240000.0,6650000.0
1388,H,245000.0,6650000.0
1389,H,250000.0,6650000.0
1390,H,255000.0,6650000.0
1391,H,260000.0,6650000.0
1392,H,265000.0,6650000.0
1393,H,270000.0,6650000.0
1394,H,275000.0,6650000.0
1395,H,280000.0,6650000.0
1396,H,285000.0,6650000.0
1397,H,290000.0,6650000.0
1398,H,295000.0,6650000.0
1399,H,300000.0,6650000.0
1400,H,305000.0,6650000.0
1401,H,310000.0,6650000.0
1402,H,315000.0,6650000.0
1403,H,320000.0,6650000.0
1404,H,325000.0,6650000.0
1405,H,330000.0,6650000.0
1406,H,335000.0,6650000.0
1407,H,340000.0,6650000.0
1408,H,345000.0,6650000.0
1409,H,350000.0,6650000.0
1410,H,355000.0,6650000.0
1411,H,360000.0,6650000.0
1513,H,195000.0,6655000.0
1514,H,200000.0,6655000.0
1515,H,205000.0,6655000.0
1516,H,210000.0,6655000.0
1517,H,215000.0,6655000.0
1518,H,220000.0,6655000.0
1519,H,225000.0,6655000.0
1521,H,235000.0,6655000.0
1522,H,240000.0,6655000.0
1523,H,245000.0,6655000.0
1524,H,250000.0,6655000.0
1525,H,255000.0,6655000.0
1526,H,260000.0,6655000.0
1527,H,265000.0,6655000.0
1528,H,270000.0,6655000.0
1529,H,275000.0,6655000.0
1530,H,280000.0,6655000.0
1531,H,285000.0,6655000.0
1532,H,290000.0,6655000.0
1533,H,295000.0,6655000.0
